wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
15,0,0,0,0,0,0,12,22.61713052911162,0,0,0,0,0,0,0,0,Positive
31,2,20.66559557601744,0,0,0,0,1,20.309172679540378,1,19.461034413776897,1,1,0,0,0,0,Positive
38,66,28.678868027586027,0,0,3,17.615292676618,21,27.42193495499238,45,28.34405897562123,0,0,0,0,0,0,Negative
47,677,48.9584611239981,363,48.81987452033858,5,11.154978283509006,18,45.740534453019244,659,48.91759956184178,0,0,0,0,0,0,Negative
60,0,0,0,0,0,0,1,20.13447867171071,0,0,0,1,0,0,0,0,Positive
75,0,0,0,0,1,17.99618723875445,1,17.99618723875445,0,0,0,1,0,0,1,0,Positive
76,419,27.826938476286315,0,0,132,22.563851152564425,63,25.64178719866903,356,27.70763597730508,0,0,0,0,0,0,Negative
85,13,22.64053025438287,0,0,6,19.33734031179817,4,19.690278160343038,9,22.586784995244635,0,0,0,0,0,0,Positive
91,159,28.125537027542112,0,0,46,21.30982996374215,34,26.69190726720817,125,27.85314826365239,0,0,0,0,0,0,Positive
95,0,0,4,45.42904920824496,0,0,4,45.42904920824496,0,0,0,0,0,0,0,0,Positive
96,0,0,0,0,0,0,3,28.846571607870494,0,0,0,0,0,0,0,0,Negative
97,1620,48.592303333093675,116,48.23854121020213,50,21.7684649732834,60,45.9560374509155,1560,48.51798031111422,0,0,0,0,0,0,Negative
106,0,0,0,0,4,18.91756860682191,5,19.40111847032754,0,0,0,0,0,0,0,0,Negative
110,143,28.540946214505748,0,0,50,21.57755940151938,141,28.21081772682395,2,27.2721455439961,0,0,0,0,0,0,Negative
133,214,37.80049498271548,0,0,94,22.015758090349422,26,23.663120157449935,188,37.80049425791866,0,0,0,0,0,0,Positive
137,15,40.347474482729744,0,0,14,0,14,0,1,40.347474482729744,1,0,0,0,0,0,Positive
152,614,30.601275963684106,0,0,132,22.452610233989205,161,28.008489891646967,453,30.523518380073693,0,0,0,0,0,0,Positive
171,50,26.388408785483424,0,0,12,20.24761652960926,19,26.10210329187291,31,24.997973281372268,0,0,0,0,0,0,Positive
187,2,21.533965706190468,0,0,1,15.9786772495662,1,21.53009125733706,1,15.9786772495662,1,1,0,0,0,1,Positive
188,5,48.2389401953964,1,48.23894019497353,0,0,4,48.23894019539488,1,21.02904462878405,1,0,0,0,0,0,Negative
191,401,28.40193850633014,0,0,150,22.88839174850002,24,26.90623744052001,377,28.14821789677749,0,0,0,0,0,0,Positive
203,26,25.319762510541608,0,0,13,20.20962960043959,17,20.851130679961063,9,25.308233315616985,1,0,0,0,0,0,Positive
205,1872,47.00834467887635,18,46.56571094455494,348,23.64230847500443,19,42.17458705221227,1853,47.000356289271025,0,0,0,0,0,0,Positive
206,0,0,0,0,1,17.622835539349666,1,17.622835539349666,0,0,0,1,0,0,1,0,Positive
222,37,26.680128175792582,0,0,12,20.39803970694179,12,26.630223390079912,25,23.657641176343102,0,1,0,0,0,0,Positive
225,39,31.422911556173702,0,0,0,0,35,31.39189332430822,4,27.93426240601744,0,0,0,0,0,0,Positive
230,91,25.78946659855814,0,0,20,20.571359799190837,45,24.473115782821584,46,25.477338941069444,0,0,0,0,0,0,Negative
235,9,23.65537407898304,0,0,4,18.802844478082097,5,23.59193556574768,4,20.866138364258227,0,0,0,0,0,0,Negative
249,0,0,0,0,0,0,2,22.669175986001726,0,0,0,0,0,0,0,0,Positive
251,15,25.507847224157562,0,0,6,19.43298105099688,12,25.145955847997357,3,24.315941305195366,0,0,0,0,0,0,Positive
252,83,27.951395621183888,0,0,14,20.54862627433353,57,27.93455708770771,26,23.85890280872894,0,0,0,0,0,0,Negative
256,5497,49.47399675788402,265,48.847752496946676,230,22.793795572432117,124,45.92874742925327,5373,49.44471065005619,0,0,0,0,0,0,Negative
266,965,48.69647461253058,250,48.39398626630489,1,17.257446666680046,105,44.86832285940538,860,48.674484822124604,0,0,0,0,0,0,Negative
267,2,24.934859959218752,0,0,0,0,1,22.738168857488677,1,24.81701021909648,1,1,0,0,0,0,Positive
268,8,26.675197023979155,0,0,0,0,2,25.340044384030193,6,26.369869502152323,1,0,0,0,0,0,Positive
274,178,45.201608480802875,2,44.025672533112704,0,0,38,44.35926228816673,140,44.638262784762276,0,0,0,0,0,0,Negative
