iter	Passed	Remaining
0	10	3199
1	19	2930
2	28	2847
3	37	2781
4	47	2802
5	57	2803
6	65	2741
7	74	2709
8	83	2694
9	92	2694
10	101	2673
11	112	2690
12	119	2648
13	128	2633
14	136	2599
15	144	2567
16	153	2548
17	161	2532
18	171	2540
19	179	2513
20	187	2486
21	195	2471
22	203	2451
23	213	2449
24	220	2424
25	227	2402
26	235	2377
27	243	2365
28	249	2334
29	255	2299
30	263	2288
31	271	2273
32	278	2251
33	284	2225
34	290	2202
35	297	2183
36	303	2159
37	309	2132
38	316	2115
39	326	2119
40	335	2120
41	343	2108
42	349	2089
43	356	2073
44	362	2056
45	370	2043
46	377	2033
47	384	2017
48	391	2007
49	401	2005
50	408	1992
51	415	1980
52	422	1968
53	429	1955
54	435	1940
55	444	1935
56	451	1923
57	459	1918
58	468	1914
59	475	1903
60	482	1891
61	490	1881
62	496	1868
63	502	1852
64	509	1840
65	517	1833
66	525	1825
67	535	1827
68	542	1817
69	549	1806
70	556	1794
71	563	1784
72	570	1774
73	578	1765
74	585	1755
75	592	1746
76	599	1736
77	606	1726
78	613	1716
79	621	1708
80	627	1695
81	634	1686
82	641	1676
83	648	1666
84	658	1664
85	667	1659
86	673	1649
87	680	1638
88	687	1629
89	692	1616
90	701	1610
91	708	1601
92	716	1595
93	725	1589
94	732	1581
95	738	1569
96	746	1562
97	752	1550
98	757	1538
99	764	1529
100	771	1520
101	777	1509
102	784	1499
103	790	1489
104	798	1482
105	804	1471
106	810	1461
107	816	1450
108	822	1441
109	830	1434
110	836	1424
111	843	1416
112	849	1406
113	859	1402
114	865	1392
115	871	1382
116	876	1371
117	883	1363
118	893	1359
119	901	1352
120	907	1342
121	914	1334
122	921	1326
123	929	1319
124	936	1311
125	943	1302
126	951	1296
127	958	1287
128	964	1278
129	970	1269
130	979	1263
131	986	1255
132	995	1249
133	1001	1240
134	1011	1235
135	1021	1231
136	1028	1223
137	1035	1216
138	1043	1208
139	1049	1199
140	1057	1192
141	1063	1183
142	1069	1174
143	1075	1165
144	1081	1156
145	1088	1148
146	1094	1139
147	1102	1131
148	1108	1123
149	1114	1114
150	1121	1106
151	1128	1099
152	1139	1094
153	1145	1086
154	1151	1077
155	1158	1069
156	1164	1060
157	1172	1054
158	1179	1045
159	1186	1037
160	1192	1029
161	1198	1020
162	1205	1013
163	1212	1005
164	1222	1000
165	1228	992
166	1235	983
167	1241	975
168	1247	966
169	1254	959
170	1261	952
171	1269	944
172	1275	936
173	1281	928
174	1288	920
175	1294	912
176	1303	905
177	1309	897
178	1314	888
179	1320	880
180	1325	871
181	1332	863
182	1338	855
183	1345	848
184	1351	840
185	1361	834
186	1367	826
187	1373	818
188	1379	810
189	1385	802
190	1393	795
191	1399	787
192	1407	780
193	1414	772
194	1422	765
195	1429	758
196	1436	751
197	1443	743
198	1450	736
199	1456	728
200	1463	720
201	1470	713
202	1479	707
203	1486	699
204	1492	691
205	1501	684
206	1507	677
207	1514	669
208	1521	662
209	1527	654
210	1536	647
211	1544	641
212	1551	633
213	1558	626
214	1564	618
215	1571	610
216	1578	603
217	1585	596
218	1593	589
219	1601	582
220	1611	576
221	1619	569
222	1626	561
223	1633	554
224	1640	546
225	1647	539
226	1654	532
227	1661	524
228	1670	517
229	1677	510
230	1686	503
231	1693	496
232	1700	489
233	1707	481
234	1714	474
235	1722	467
236	1727	459
237	1734	451
238	1745	445
239	1754	438
240	1760	430
241	1765	423
242	1771	415
243	1776	407
244	1782	400
245	1787	392
246	1793	384
247	1802	377
248	1810	370
249	1816	363
250	1823	355
251	1829	348
252	1835	340
253	1841	333
254	1847	325
255	1853	318
256	1861	311
257	1867	304
258	1874	296
259	1886	290
260	1893	282
261	1898	275
262	1904	267
263	1911	260
264	1917	253
265	1924	245
266	1929	238
267	1936	231
268	1947	224
269	1953	217
270	1961	209
271	1967	202
272	1973	195
273	1979	187
274	1986	180
275	1992	173
276	2000	166
277	2008	158
278	2017	151
279	2025	144
280	2031	137
281	2037	130
282	2042	122
283	2048	115
284	2054	108
285	2059	100
286	2066	93
287	2074	86
288	2081	79
289	2088	72
290	2095	64
291	2102	57
292	2108	50
293	2114	43
294	2120	35
295	2128	28
296	2137	21
297	2145	14
298	2151	7
299	2157	0
