wallet_id,total_transaction_count,total_transaction_sum,big_transaction_count,big_transaction_sum,small_transaction_count,small_transaction_sum,from_transaction_count,from_transaction_sum,to_transaction_count,to_transaction_sum,to_unique_wallet,from_unique_wallet,from_unique_big,to_unique_big,from_unique_small,to_unique_small,classification
3,1,5982743,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
15,12,6645000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
31,1,660939377,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Positive
38,21,811325328082,21,811325328082,21,811325328082,0,0,0,0,1,0,0,0,0,0,Negative
47,18,73259122480547299989,355,1525529057778684005768,5,69911,0,0,0,0,1,0,0,0,0,0,Negative
60,1,555000000,1,555000000,1,555000000,0,0,0,0,0,1,0,0,0,0,Positive
75,1,65410100,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Positive
76,63,136800185574,63,136800185574,185,142411165537,0,0,0,0,1,0,0,0,0,0,Negative
85,4,355941931,0,0,4,187750907,0,0,0,0,1,0,0,0,0,0,Positive
91,34,390974144133,0,0,40,1547370454,0,0,0,0,1,0,0,0,0,0,Positive
95,4,53651934936918687448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
96,3,3372149894809,3,3372149894809,3,3372149894809,0,0,0,0,0,0,0,0,0,0,Negative
97,60,90876893960968626045,106,813015985370050814954,47,2664825757,0,0,0,0,1,0,0,0,0,0,Negative
106,5,266562280,5,266562280,5,266562280,0,0,0,0,0,0,0,0,0,0,Negative
110,141,1785675206932,141,1785675206932,141,1785675206932,0,0,0,0,1,0,0,0,0,0,Negative
133,26,18913090862,0,0,85,3368337055,0,0,0,0,1,0,0,0,0,0,Positive
137,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
152,161,1458587899724,161,1458587899724,234,1461806467951,0,0,0,0,1,0,0,0,0,0,Positive
171,19,216770123845,0,0,10,551481393,0,0,0,0,1,0,0,0,0,0,Positive
187,1,2240783139,0,0,1,8698640,0,0,0,0,1,1,0,0,0,1,Positive
188,4,891057109612016065114,4,891057109612016065114,4,891057109612016065114,0,0,0,0,1,0,0,0,0,0,Negative
191,24,484429351603,0,0,147,8553974213,0,0,0,0,1,0,0,0,0,0,Positive
203,17,1136399400,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Positive
205,19,2071049281907669037,18,167198088916847099850,341,18390639316,0,0,0,0,1,0,0,0,0,0,Positive
206,1,45029822,1,45029822,1,45029822,0,0,0,0,0,1,0,0,1,0,Positive
